Date,Time,Raw Milk,Cream,Skim Milk,Crude Oil Price,Processed Milk
09/09/2022,1:18 PM,600,24,574,84.06,576
09/09/2022,1:20 PM,100,4,96,84.06,96
09/09/2022,4:27 PM,200,8,191,84.58,192
10/09/2022,11:09 PM,800,32,764.8,86.18,768
11/09/2022,6:37 PM,600,24,573.6,86.18,576
11/09/2022,6:39 PM,500,20,478,86.18,480
11/09/2022,6:41 PM,300,12,286.8,86.18,288
12/09/2022,10:24 AM,200,8,191.2,85.45,192
12/09/2022,10:59 PM,100,4,95.6,88.67,96
12/09/2022,11:01 PM,150,6,143.4,88.67,144
12/09/2022,11:15 PM,800,32,764.8,88.35,768
13/09/2022,1:58 PM,500,20,478,87.73,480
13/09/2022,2:34 PM,600,24,573.6,87.91,576
13/09/2022,3:00 PM,800,32,764.8,88.29,768
13/09/2022,3:01 PM,750,30,717,88.29,720
13/09/2022,3:03 PM,600,24,573.6,88.29,576
13/09/2022,5:45 PM,500,20,478,,480
13/09/2022,5:47 PM,300,12,286.8,88.65,288
